dd,ENACT,STN
19810701,151,118
19820701,142,104
19830701,154,122
19840701,95,95
19850701,113,113
19860701,103,103
19870701,116,117
19880701,115,115
19890701,134,134
19900701,149,142
19910701,119,119
19920701,137,127
19930701,118,117
19940701,147,94
19950701,155,147
19960701,154,154
19970701,121,111
19980701,136,120
19990701,138,119
20000701,130,123
20010701,139,115
20020701,132,126
20030701,152,146
20040701,147,114
20050701,143,140
20060701,112,131
20070701,115,115
20080701,116,115
20090701,149,149
20100701,141,123
20110701,107,143
20120701,115,146
20130701,101,101
20140701,135,128
20150701,122,111
20160701,118,106
20170701,138,138
20180701,163,154
20190701,123,123
20200701,153,160
20210701,136,136
